Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
4908.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4930.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4949.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4959.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4980.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4992.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5011.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5031.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5042.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5063.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5083.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5094.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5114.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5124.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5147.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5160.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5182.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5193.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5213.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5232.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5242.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5262.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5284.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5296.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5314.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5325.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5345.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5366.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5376.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5397.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5408.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5430.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5441.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5462.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5482.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5493.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5513.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5533.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5544.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5564.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5576.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5595.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5616.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5629.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5647.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5658.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5682.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5692.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5713.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
